,id,premise,hypothesis,lang_abv,language,label
2001,434f4f84a0,"Good sir, Jon began.",Jon addressed the man.,en,English,0
2003,40c62b7080,His family had lost a son and a daughter now.,They died at a young age.,en,English,1
2004,b5aa783da3,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,en,English,2
2005,4e7d4f5f18,"For a review of the literature, see William G. Gale and John Sabelhaus, Perspectives on the Household Saving Rate, Brookings Papers on Economic Activity (1:1999), pp. 181-224.",No literature was used in this instance.,en,English,2
2006,5f8260d5f5,Improved products and services   Initiate actions and manage risks to develop new products and services within or outside the organization.,Managed risks lead to new products,en,English,0
2007,e5cb7b1a11,"For example, computers and related equipment have an estimated annual depreciation rate of 31 percent,7 and new versions of software applications are released every few years.",Computers will not be able to function to a business' standards once the equipment is 7 years old.,en,English,1
2010,0e6c5200e7,Decline in total expenditure (income) elasticity of demand from 0.36 to 0.25 over same period.,Economists suggest that this change is minor and therefore not noteworthy.,en,English,1
2011,6d3fdd4a9e,This step of the analysis employs complex computer models that simulate the transport and transformation of emitted pollutants in the atmosphere.,This analysis uses complex computer models to simulate transport and transformation of pollutants ,en,English,0
2016,cc6d72f7f8,so i guess my experience is is just with what we did and and so they didn't really go through the child care route they were able to be home together,It was a good thing that they didn't go the child care route as they were able to be home with their child more often.,en,English,1
2017,d363989484,Analytical Perspectives.,Some perspectives might be subjective.,en,English,1
2018,4dc5dadd31,What and who will they tax?,"They will tax many people, but whom?",en,English,1
2019,0f3a7071ad,I like ethnic humor.,I hate racial jokes.,en,English,2
2020,48f682dcac,"Diamonds are graded from D to X, with only D, E, and F considered good, D being colorless or  river white,  J  slightly tinted,  Q  light yellow,  and S to X  yellow.  ","Diamonds are rated alphabetically, the ones from D to F are considered the best.",en,English,0
2021,f9bec05787,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,They receive more tax benefits then anyone else. ,en,English,1
2022,e062bc429f,Charles Geveden has introduced legislation that will increase the Access to Justice supplement on court filing fees.,"Fortunately, Charles Geveden was able to make the government increase the budget for court filing fees.",en,English,1
2024,2f8856f3f7,yeah and how about how about like on the weekends do you do sports or do you go out,Do you play sports on the weekend?,en,English,0
2025,21a30a5730,"The movie doesn't come to much, though.",There was a lot to this movie.,en,English,2
2026,0347be4167,"They were so sure of themselves that they took it for granted he had made a mistake.""",He made a mistake but concealed it so it wasn't obvious.,en,English,1
2027,aa00a34727,okay i guess we're on,"From your tone of voice, I could only assume that you want to go through with this, right?",en,English,1
2029,d14a84f7d1,"It recalls William Randolph Hearst's castle in Caleornia, with its imaginative juxtaposition of ancient Roman and Chinese sculpture, fine Venetian glass chandeliers, Syvres porcelain, old Flemish masters, and naughty French erotica.",William Randolph Hearst's castle housed a collection of sculptures and other fine arts.,en,English,0
2031,f4cde9a0a7,we were talking . Try to behave,"We are having an argument, come at me if you dare!",en,English,2
2032,7776ed5602,"experiencing cost growth, manufacturing problems with test aircraft, and testing delays.",Testing is an integral part of making planes safe.,en,English,1
2034,a24a251de7,But she's not like her photo one bit.,She doesn't look like the girl in the picture at all. ,en,English,0
2037,9d2c135613,"St. Barts, of course, is completely undefended.",St. Barts is a military powerhouse.  ,en,English,2
2039,383f752e95,Three more days went by in dreary inaction.,The next three days were packed with action.,en,English,2
2041,52cfbd05ab,"(The Ramseys buried their daughter in Atlanta, then vacationed in Sea Island, Ga.) This absence, some speculate, gave the Ramseys time to work out a story to explain their innocence.",It's speculated hat the Ramseys ate their daughter.,en,English,2
2044,44e024a354,"Disney CEO Eisner, who's actually underrated as a pop-culture maven (he was responsible for Happy Days and Welcome Back, Kotter ), insists that ABC's downturn is cyclical and that it will soon return to life.",Disney's CEO didn't contribute anything to pop culture. ,en,English,2
2045,8e1cb30e9e,and uh oh i guess an hour into my somewhat sleep a guy woke me up and uh said you'd better get out of the the tent they're they're liable to come down several of the others had already come down blown down they hadn't blown away but they had flattened,A guy told me to get out because the tents were being flattened.,en,English,0
2046,a0876ff215,"They returned to live in the Galilee village of Nazareth, making pilgrimages to Jerusalem.",They would make pilgrimages to Jerusalem.,en,English,0
2047,89a22f6a01,"The advent of the Bronze Age (about 3200 b.c. ), and the spread of city-states ruled by kings, is marked by the appearance of royal tombs containing bronze objects in such places as Troy in the west, and Alacah??y??k near Ankara.",We know the Bronze Age started around 3200 b.c. because royals were starting to be buried with bronze treasure.,en,English,0
2050,9dc06ffa20,and clean up is is uh is a joy uh a little soap and water and air dry them and you don't have to worry about that,You let it air dry because it'll smudge any other way.,en,English,1
2052,d7c8a3ff49,"As discussed in section 1, personal saving is the amount of aggregate disposable personal income left over after personal spending on goods and services.",Personal saving is how much disposable personal income is left over after personal spending and is typically about 5%.,en,English,1
2055,f9c5577223,"For example, service coordination is a popular remedy for limited funds.",Limited funds can be overcome through service coordination.,en,English,0
2056,b6b4c481e2,2. Receiving Water Samples,The water samples should be received.,en,English,0
2057,8a7ff14e68,no i i i don't i it completely beyond me i went to my under graduate uh education,I was thinking of other things so I can't recall.,en,English,1
2059,a17d72467a,"On the west side of the square is Old King's House (built in 1762), which was the official residence of the British governor; it was here that the proclamation of emancipation was issued in 1838.",On the west end of the square is the Old King's House which was built in 1762.,en,English,0
2060,893cd33ffa,Companies that were foreign had to accept Indian financial participation and management.,Foreign companies had to take Indian money.,en,English,0
2061,7595f33c72,oh really yeah so he he's uh he's probably going to be going to jail and and the problem with him is he's on a guaranteed salary like for three years so whether he plays or not they've got to pay him ten million dollars so if they,"He is so hardworking and has helped the team achieve so much, I don't see anything wrong with paying him a million dollar salary.",en,English,2
2062,48d66820e3,hi Mary have you gone visiting uh any new restaurants lately,"Hello, Mary, have you gone anywhere recently, such as restaurants? ",en,English,0
2064,858013a88f,I am asserting my membership in the club of Old Geezers.,I am proclaiming that I am now a member of the club of Old Geezers.,en,English,0
2065,51daa653e5,The year of 1820 was a pivotal one in the story of the King?­dom of Hawaii.,The Kingdom of Hawaii has remained exactly the same since the 18th Century.,en,English,2
2066,b2bdabe5a4,"The analysis concluded that, because the rule relaxed the hog cholera-related restrictions imposed on the importation of live swine and prepared pork products from Sonora, Mexico, the proposed rule could have a significant economic impact on a substantial number of small entities in the United States.",The analysis stated that the rule might have a large impact on small entities in the US.,en,English,0
2067,783544532a,well his knees were bothering him yeah,He was in tip-top condition.,en,English,2
2068,035d61602b,"Although, in this case the equipment did not have to be erected adjacent to an operating boiler, the erection included demolishing and erecting a complete boiler island and demolishing the existing electrostatic precipitator.",The demolishing of the precipitator was permanent.,en,English,1
2069,2a1c0ceeb1,As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.,His charges went up because his rent went up,en,English,1
2071,a6a01cd88b,"Come on, let's have tea. ",I wanted a cup of early gray. ,en,English,1
2072,f67a47bef6,"Sultan Abdul Hamid II (1876 1909) tried to apply absolute rule to an empire staggering under a crushing foreign debt, with a fragmented population of hostile people, and succeeded only in creating ill will and dissatisfaction amongst the younger generation of educated Turks.",Sultan Abdul Hamid II was universally admired by educated young Turks.,en,English,2
2073,9842786aa7,Tuppence seized the bell and Jane the knocker.,Tuppence and Jane did not go up to the door.,en,English,2
2074,987fb46240,"Rightly or wrongly, America is seen as globalization's prime mover and head cheerleader and will be blamed for its excesses until we start paying official attention to them.",America has not played a large roll in the globalization movement compared to other world powers. ,en,English,2
2076,fd9fc09437,"GQ editor Art Cooper reportedly received two $1-million loans, one for a Manhattan apartment, the other for a Connecticut farm.",Art Cooper lost his job as GQ editor shortly after.,en,English,1
2077,0c72281b68,"Because of the casualties, Lind says, the United States would eventually have had to leave Vietnam anyway.",Lind thought that enough soldiers would die that the US would have no choice but to leave.,en,English,0
2078,dbcdf2cf90,What changed?,What was unique?,en,English,1
2082,803413e2a5,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,en,English,1
2083,40d42f61d9,Kentucky officials say there is a virtual epidemic of abusive relationships in the state.,Kentucky has the highest rate of domestic abuse.,en,English,1
2087,060373e833,"The formal splendor of the grounds testify to the 18th-century desire to tame nature, but it is done with such superlative results that one can only be thankful that the work was undertaken.",The grounds were more beautiful than any other location.,en,English,1
2088,e8b38c6175,"Others are Zao (in Tohoku) and a number of resorts in Joshin-etsu Kogen National Park in the Japan Alps, where there are now splendid facilities thanks to the 1998 Winter Olympic Games in Nagano.",There are a lot of resorts in the national park.,en,English,0
2089,b23de4e867,okay movies i've i haven't seen too many lately i have kids and we went and saw The Rescuers Down Under over the the break do do you have kids you take to movies or,I took my kids to see the movie The Rescuers Down Under.,en,English,0
2093,e3136785de,The Tunnel of Eupalinos can be explored but it's not for the claustrophobic.,"The tunnel of Eupalinos is only one foot in diameter, barely large enough for a child to squeeze through.",en,English,2
2094,d66435c096,This one ended up being surprisingly easy!,This question was very easy to answer. ,en,English,0
2095,f87bcd9471,"Thus, recent evidence suggests that by not including an estimate of reductions in short-term mortality due to changes in ambient ozone, both the Base and Alternative Estimates may underestimate the benefits of implementation of the Clear Skies Act.",Base and Alternative estimates perfectly understand the benefits of implementing the Clear Skies Act.,en,English,2
2096,8e3d119dfc,"Under the default method, eighty percent of the total amount of sulfur dioxide allowances available for allocation each year will be allocated to Acid Rain Program units with coal as their primary or secondary fuel or residual oil as their primary fuel, listed in the Administrator's Emissions Scorecard 2000, Appendix B (2000 Data for SO2, NOx, CO2, Heat Input, and Other Parameters), Table B1 (All 2000 Data for All Units).",80% of the sulfur dioxide allowance for each year is in the Acid Rain Program.,en,English,0
2097,d4f4768005,"Under Ferdinand and Isabella, Spain underwent a dramatic transformation.",Spain embarked on a long period of stagnation under Ferdinand and Isabella.,en,English,2
2099,cac91eb539,yeah well i i started uh studying mathematics basically because i was really good at that in high school,I started studying mathematics because I was really good at it.,en,English,0
2100,6527c0d83c,5 The share of gross national saving used to replace depreciated capital has increased over the past 40 years.,Gross national saving was highest this year.,en,English,1
2106,185ec97064,Their goals remain influential as India approaches the new millennium while it continues to modernize its industry and increase its agricultural output.,Their goals have become ineffective as India modernizes. ,en,English,2
2109,2bc230c483,The  liberation  of these old European colonies created the basis for postwar independence movements proclaiming the Japanese slogan  Asia for the Asians.  ,Old European colonies were liberated.,en,English,0
2112,c7701cfaaf,That story remains to be told.,The story has not been told yet.,en,English,0
2115,971f4bbc23,"A stable funding level not only supports GAO's strong return on investment of $57 for every $1 spent, it creates the environment necessary to recruit, retain, compensate, train and motivate a strong and capable workforce.",GAO has a ROI of $57 per dollar that is spent.,en,English,0
2117,84ca1421a1,made it yeah made it all the way through four years of college playing ball but,I played ball in college.,en,English,0
2118,ac14bec5f4,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,en,English,2
2120,7fd11375d3,I want you to mark him.,He should be marked.,en,English,0
2121,deeb6d89f2,"The first historical mention of Agra is in 1501, when Sultan Sikandar Lodi made it his capital.",Agra still exists to this day as a capital.,en,English,1
2123,18a9c69163,And the trunk? Big? Mother asked again to keep up appearances.,"Mother, trying to keep up appearances, asked if the trunk was big and shiny.",en,English,1
2124,94cf789311,uh it's in Georgia it's yeah it's right outside of Macon and and it's just a i like the way that i like the way that idea of the south is,It's about a seven-hour drive to get there from here.,en,English,1
2125,75a4bb5925,"On Menorca, search for more elusive prehistoric sites, or take the cliff paths of the northwest or south coasts.",Menorca is home to several well-hidden prehistoric sites.,en,English,0
2127,8187f9da9d,Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.,Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,en,English,0
2128,0b63649674,I watched her hips shift in and out of the sides of her wrap.,The wrap fell down a bit.,en,English,1
2130,ef46d6f1f6,Thorn held a sword different from any Ca'daan had ever seen.,Ca'daan had never seen someone hold a sword like Thorn held it.,en,English,0
2134,aec61fd449,"Hindus then went on the rampage through Sikh communities, resulting in a round of communal violence.",The Hindus peacefully protested against the Sikhs.,en,English,2
2135,9bc80f9406,oh i enjoyed it i mean it was just more for my money,It was worth the money for the time.,en,English,1
2137,38da65f6e0,"At least they're getting stoned first, I rationalized.","It's awful that they get stoned first, I argued. ",en,English,2
2138,250e1e3487,yeah that's the World League,That's the World League that you can join.,en,English,1
2139,42bc978ade,'You burned down my house.','You set fire to my home and it burned down.',en,English,0
2140,18d329af1c,"Huntington--like Buchanan--claims not to be a cultural  He is defending the integrity of all cultures, theirs and ours.",They may be defending other cultures despite not wanting to.,en,English,1
2141,7c167365a6,not only that but they don't pay the money either,They've paid out their life savings.,en,English,2
2142,40bc85a4e3,8. Jury Nullification.,"On average, the jury nullifies 1 in every 50 cases.",en,English,1
2143,26f6452d02,"Land of Lincoln helped Tasha Johnson of Marion get Social Security benefits to support her four children after the 29-year-old woman was diagnosed with non-Hodgkin's lymphoma, a type of cancer, she said.",She loves her children.,en,English,1
2144,d4709c7130,"Ask Cook if she's missed any."" It occurred to me very forcibly at that moment that to harbour Miss Howard and Alfred Inglethorp under the same roof, and keep the peace between them, was likely to prove a Herculean task, and I did not envy John. ","To keep the peace between Miss Howard and Alfred Inglethorp would be difficult, in the aftermath of their divorce. ",en,English,1
2147,8f5927d246,they don't allow they don't do that,"Yes, it's allowed and they do it often.",en,English,2
2148,9dbc3a463d,Such a knowledgebased process enables decision makers to be reasonably certain about critical facets of the product under development when they need this knowledge.,They wanted to share what they have already researched.,en,English,1
2149,2cda19c703,You will find a number of Mary's personal effects on display.,A number of Mary's personal effects can be found on display.,en,English,0
2150,16d78dd678,You'll even be able to consult a traditional herbalist to cure your ailments.,You will not be allowed to consult with traditional herbalists.,en,English,2
2152,d5d8d318ed,yeah what do you do,What do you do with the teeth?,en,English,1
2153,98e25172b3,and take it easy now good night,"Goodnight for now, I'll see you tomorrow.",en,English,1
2154,c095f5816a,"You can count on me, if necessary, for one million dollars.",I'm good for one million dollars. ,en,English,0
2158,e03e4acdb9,"Sure, the man yells back, you're in a hot air balloon about 30 feet above this field.","""Sure."" The man yells ""youre in a hot air balloon about 30 feet high above the field ",en,English,0
2159,3d39c84b92,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","It is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses, and part of the reason for the difference in pieces per possible delivery, may be due to the fact that five percent of possible residential deliveries are businesses.",en,English,0
2161,3cc1a87566,of course you got to charge it and keep your cash,You have to charge you new credit card.,en,English,1
2165,657235ac78,and uh really they're about it they've got a guy named Herb Williams that that i guess sort of was supposed to take the place of uh Tarpley but he uh he just doesn't have the offensive skills,"If Herb Williams had more offensive skills, he would have taken Tarpley's place.",en,English,0
2166,a041e0ae8c,yeah it's definitely a way out of the way where  where as,"Yes. There is a definitely a way out of there, where as there isn't a way out of the other field.",en,English,1
2169,989185ee67,"Many are based on industry-recognized models such as the Constructive Cost Model (COCOMO), PRICE, Putnam, and Jensen.",Many are said to be based on models such as the Constructive Cost Model.,en,English,0
2174,ba1006700b,Guards would regulate those who entered and departed.,Guards had big guns and swords.,en,English,1
2175,0abb9434d5,"He married Dona Filipa Moniz (Perestrelo), the daughter of Porto Santo's first governor, and lived on the island for a period, fathering a son there.","He landed on the island but soon left for greener pastures, before later dying alone and childless.",en,English,2
2179,d3c2333627,"The third row of Exhibit 17 shows the Krewski, et al. ",Exhibit 17 has 2 rows.,en,English,2
2180,3d00ec6e4a,"The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up, he was thinking about how much embarrassment it would have caused him by my saying, please sit down.",The South African priest did not know of a person named Clinton.,en,English,2
2181,fe51943a3a,"If I work at it, I might even be able to pick up some endorsements from members of the Sonics.",I don't need to put any work to get the endorsements I want.,en,English,2
2182,cabb7803e1,"Improvements in architecture, regaining intimate space and scale and all the rest, won't disguise the ugliness of advertising the local bank, Chevy dealer, and chain retailer as a backdrop for baseball.",Local advertisements are beautiful. ,en,English,2
2184,4f8b9349df,how do you like it well,What are you thoughts on firearms?,en,English,1
2187,c096732198,The last thing we want is any more attention or any more bounty hunters.,They waived their hands to get more attention.,en,English,2
2188,b8062664d9,"No, don't answer.",Please respond.,en,English,2
2189,1946174ff0,"To assist programs with implementing these web sites, the Northwest Justice Project and ProBonoNet in New York are hiring two full-time circuit riders to assist grantees with content management and to ensure that each web site supports the entire state justice community.",The Northwest Justice Project and ProBonoNet in New York will fire more people.,en,English,2
2190,55124575f2,"We are assured of success?""","""We are going to fail, aren't we?""",en,English,2
2197,ecc7853624,Every August young women convene to light joss sticks and some even climb the nine-meter (30-ft) rock to pray for good husbands.,Women converge on this place to light joss sticks and climb the rock.  ,en,English,0
2198,89fb53694f,"Trump, who said he would decide by March whether to run for president, would likely spend $100 million to $200 million of his own money on a campaign.","Even if he ran from President, Trump's campaign would not receive any of his money. ",en,English,2
2199,5d8f41c138,is there still that type of music available,Is that genre of music still a thing?,en,English,0
2204,b78b765a04,those little kids don't understand it,The little kid understand it perfectly. ,en,English,2
2207,7cf8762f15,"See you Aug. 12, or soon thereafter, we hope.",The person was going to attend on August 12.,en,English,1
2208,6c62af5b4e,"He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.","He had an easy time of taking money from land-owners in contact with his Congress Party, but couldn't get his hands on the fortunes of individual princes.",en,English,2
2209,e41d784f07,"We hate them because they are smarter, or more studious, or more focused than we are.",We hold no ill will towards them.,en,English,2
2210,533d26654b,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,en,English,0
2211,7e6bf1039a,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,What you see on the surface is all of it.,en,English,2
2214,efff3a9beb,"New Madeirans traded sugar, the era's dominant luxury item, with Britain and Flanders, and they proved skillful in the art of winemaking.",Salt was the dominant luxury item of the era.,en,English,2
2215,4c8b6af1ad,right well the preseason really doesn't mean anything either,"It is alright that they don't play well in the preseason, since it doesn't matter.",en,English,1
2217,f3992d7385,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Unit cost is not a measurement listed on the scorecard.,en,English,2
2221,b77253aab9,"But he said he thought the Ledfords understood they could qualify only if he put down a stated income, typically an undocumented business income that raises the borrower's interest rate. ",He also believed that a tax return was necessary.,en,English,1
2223,832ff6e402,see too much crime on TV and they think it's way to go i don't know what do you think,TV has a lot of crime shown on it.,en,English,0
2224,00e426e07a,um-hum yeah we're still pretty much you know in winter as far as that goes here,It's still pretty much winter here.,en,English,0
2225,d699357e5d,oh really yeah i've i've never seen either one of them,I've never looked at either of them.,en,English,0
2226,623e9ddb4e,At the fulcrum is a coffee bar and cafe under a giant screen television flanked by CD listening stations.,There is a huge television screen above the coffee bar and cafe.,en,English,0
2227,24131e0f00,"Finally, the FDA will conduct workshops, issue guidance manuals and videotapes, and hold teleconferences to aid small entities in complying with the rule.",The FDA will only issue videotapes.,en,English,2
2229,8bc3bf15ec,"Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration.",ED and alcohol dependency issues are completely unrelated.,en,English,2
2231,3a95fdc3ff,"The Ovitz deal, however, contained none of these goodies.",The Ovitz deal contained all of these goodies.,en,English,2
2233,265de5be42,I never said you were a mandrake-man.,I have said you were a mandrake.,en,English,2
2234,36008e0ebe,"This was used for ceremonial purposes, allowing statues of the gods to be carried to the river for journeys to the west bank, or to the Luxor sanctuary.",Statues were moved to Luxor for funerals and other ceremonies.,en,English,0
2237,aae3f194c3,"We are assured of success?""","""Are we definitely going to be successful?""",en,English,0
2238,af5ada1860,These alone could have valuable uses.,These by themselves could prove valueable. ,en,English,0
2240,8dbf3daee2,"All of a sudden I sat down on the edge of the table, and put my face in my hands, sobbing out a 'Mon Dieu! ","I had stood my ground for days, but I broke down and started crying.",en,English,1
2243,99ff52ec35,"Was it a sudden decision on his part, or had he already made up his mind when he parted from me a few hours earlier? ","He left in the spur of the moment whilst we were talking, which was quite rude. ",en,English,1
2244,02ddad2b85,"The rule prohibits the sale of nicotine-containing cigarettes and smokeless tobacco to individuals under the age of 18; requires manufacturers, distributors, and retailers to comply with various conditions regarding the sale and distribution of these products; requires retailers to verify a purchaser's age by photographic identification; prohibits all free samples; limits the distribution of these products through vending machines and self-service displays by permitting such methods of sale only in facilities where access by individuals under 18 is prohibited; limits the advertising and labeling to which children and adolescents are exposed; prohibits promotional, non-tobacco items such as hats and tee shirts; prohibits sponsorship of","The rule will be put into effect as of January 1, 2017,  in all 50 states. ",en,English,1
2245,1e0f146d0d,oh really i was um i was TDY at Bent Waters,"I had work at Bent Waters, but only for a little while. ",en,English,1
2248,6d922d4843,"The 2000 census showed Illinois with about 35,000 fewer people who are eligible for LSC services because of low income, about $22,000 a year for a family of four, Kleiman said.",Low income is the only disqualifying factor in LSC services eligibility.,en,English,1
2249,e9d26d5129,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.",Reason for a lesser pecentage of possible deliveries on rural routes might become more clear in the future.,en,English,1
2250,6630267608,right and uh there's usually nobody running against you know the incumbents,There are numerous candidates running against the incumbents.  ,en,English,2
2251,917518907c,"Cruises are available from the Bhansi Ghat, which is near the CityPalace.",Bhansi Ghat is famour for the ability to take cruises.,en,English,1
2252,a027e631c8,And she came to you?,The person asked if the woman came to the other person.,en,English,0
2253,85709747fc,Because the paper did not say that.,The paper did not explain that.,en,English,0
2254,105b3d4a34,The Kal nodded.,The Kal then shook its head side to side.,en,English,2
2259,185917d746,and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual,"If people repeatedly commit the same crimes, why bother letting them out?",en,English,1
2260,f0f90800d1,"In that case, price discrimination can survive.","When dealing with big ticket items, prices can fluctuate.",en,English,1
2261,13a720d11e,"You wonder what youre going to be when you grow up, lawyer Smith said. ",You have no dreams for the future.,en,English,2
2262,3bba797443,The idea that Clinton's approval represents something new and immoral in the country is historically shortsighted.,Clinton's approval is the result of the country liking the effect that the administration has had on the economy.,en,English,1
2263,ad7491e7ee,"It sounds perfect, said Jon.",Jon was talking to someone that he agreed with on most things.,en,English,1
2265,dae857179e,"Bettelheim committed suicide in 1990, evidently having found life unbearable, despite (or because of) his fictions.",Bettelheim killed himself in 2005.,en,English,2
2266,d0b90b370c,"This town, which flourished between 6500 and 5500 b.c. , had flat-roofed houses of mud and timber decorated with wall-paintings, some of which show patterns that still appear on Anatolian kilims.",The houses in this town are run down and made from mud.,en,English,1
2268,73f2518e62,"Today, nothing remains except the foundations.",The foundations were replaced.,en,English,2
2269,b6caae266c,Such a knowledgebased process enables decision makers to be reasonably certain about critical facets of the product under development when they need this knowledge.,They refused to help with the process at all.,en,English,1
2271,cc03ddc2ca,"This marvelous Victorian-Gothic building is famous for the fanciful stone carvings around the base of its pillars (one pillar, reputedly depicting the club members, shows monkeys playing billiards).",The Victorian-Gothic building is famous for their rude members.,en,English,2
2272,5558887240,"And frankly, the number seems a tad low to me.",The number looks low in my opinion.,en,English,0
2273,c19e40eac2,That's why we tried to kill you.,That's why we saved your life.,en,English,2
2275,5243a61aa8,This is arguably starting to distort the practice of science itself.,This began to distort scientific practice. ,en,English,0
2276,ddd02d184c,This site includes a list of all award winners and a searchable database of Government Executive articles.,The Government Executive articles housed on the website are not able to be searched.,en,English,2
2277,8650fd1b7f,"Mykonos has had a head start as far as diving is concerned because it was never banned here (after all, there are no ancient sites to protect).",Protection of ancient sites is the reason for diving bans in other places.,en,English,1
2279,76cb93ee92,He had never felt better.,He felt very sick.,en,English,2
2280,9666f84071,"What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind.",Those left behind will need a program for stabilizing conditions if they cannot evacuate. ,en,English,0
2283,90d9d1238a,"Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.","Raccoons, if they are escaped or abandoned, tend to go to the seaside- this is what has been happening for the past 20 years.",en,English,1
2284,0c1d674391,"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.",The calculation of Japan's year of foundation was very exact.,en,English,1
2285,8b9875e0a4,Workers are also represented in civil rights and retaliation claims.,Some workers are represented in civil rights and retaliation claims.,en,English,0
2286,1c45dada85,The game of billiards is also hot.,People like billiards.,en,English,0
2287,e23c55c5b4,"Only trouble was, they had infinite ammunition...we only had so many bullets.",They had a lot more bullets than we did.,en,English,0
2288,1b32606550,"That first glimpse of the towering, steepled abbey rising from the sea on its rock is a moment you will not forget.",The abbey is not of great height and lacks a steeple.,en,English,2
2291,658f9f5853,A 1997 Henry J. Kaiser Family Foundation survey found that Americans in managed care plans are basically content with their own care.,The henry kaiser foundation shows that people will always be content with how their healthcare is,en,English,1
2292,86100c293b,no i i just painted,I didn't just paint. ,en,English,2
2293,3c6a1e52fe,"However unsatisfactory and over-argued the revisionist case, it did make one serious  that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.",The revisionist case resulted in the United States changing its policy.,en,English,1
2294,07add0a85a,"Britons, however, trumpet their poet laureate as worthy of the ranks of Blake, Keats, Hardy and Auden (the Times of London).",Britons are the proudest nation in the continent of europe.,en,English,1
2296,5cdb46ca79,At the pictures the crooks always have a restoorant in the Underworld.,The crooks tend to have it in pictures about the Underworld.,en,English,0
2299,af5dae33b9,The spear missed Vrenna by only a hand-span.,The spear smacked the man in the face. ,en,English,2
2302,2f73050be8,"He appropriated for the State much of the personal fortunes of the princes, but found it harder to curtail the power of land-owners who had extensive contacts with the more conservative elements in his Congress Party.","He was able to take much of the princes' individual fortunes for the State, but it was more difficult to wrest power from land owners in contact with the conservative elements of the Congress Party.",en,English,0
2306,64da9a705c,Each room was outfitted with a leather sofa and three fold-out beds for students exhausted after a full day of hard work.,Students received housing with sofas and beds to rest in.,en,English,0
2307,dcba68697f,for a change i i got i get sick of winter just looking everything so dead i hate that,Winter is all year long.,en,English,1
2310,0b94655ee2,looking at that and you know and if it's if it's funny or if it keeps my interest if it's exciting i'll watch it if not i don't and times that i saw that or pieces of that it wasn't any it wasn't great Thirty Something i watched a few times because there was a few good episodes and then after that it it i just lost interest in it,Thirty Something was one of my favorite shows until I lost interest in it.,en,English,1
2311,c91c063169,yeah they were my favorite team for a while,They were always the worst team ever.,en,English,2
2313,24678ba169,and oh okay and then went to Colorado,I had to move back to Nebraska just to survive.,en,English,2
2314,2fd832eee4,Time reports that Harrer denies having known she was.),Harrer was will aware that she was.,en,English,2
2324,607f828145,so are can i just ask you are you Canadian,Are you from the U.S.?,en,English,2
2325,0b5c6e1815,We look forward to receiving comments from the readers of this paper.,They discourage people from making comments about the paper.,en,English,2
2328,19e0437138,"You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him.","Hanson's nose was almost touching it, as he examined it carefully.",en,English,1
2329,493ecc9672,"The providers worked with the newly created Legal Assistance to the Disadvantaged Committee of the Minnesota State Bar Association (MSBA) to create the Minnesota Legal Services Coalition State Support Center and the position of Director of Volunteer Legal Services, now the Access to Justice Director at the Minnesota State Bar Association.",The Legal Assistance to the Disadvantaged Committee contains seventeen members.,en,English,1
2330,f2ad5ff145,"His diet was of wheaten bread,",He ate nothing else apart from wheaten bread.,en,English,1
2331,32b7fa129c,Programs that do this typically have successful cost and schedule outcomes.,None of the programs have successful costs.,en,English,2
2332,2d48f58a2f,that's true i didn't think about that,You informed me of a new perspective.,en,English,0
2336,a7ba33a875,This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996.,The 125 piece walk sequence was too small for optimal efficiency.,en,English,1
